Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875,5.875,5.875,5.875,1.56374,35389440000.0
2000-01-04,5.55,5.55,5.55,5.55,1.477235,28861440000.0
2000-01-05,5.494,5.494,5.494,5.494,1.46233,43033600000.0
2000-01-06,5.475,5.475,5.475,5.475,1.457273,34055680000.0
2000-01-07,5.5,5.5,5.5,5.5,1.463927,20912640000.0
2000-01-10,5.613,5.613,5.613,5.613,1.494004,19563520000.0
2000-01-11,5.475,5.475,5.475,5.475,1.457273,23987200000.0
2000-01-12,5.483,5.483,5.483,5.483,1.459402,23301120000.0
2000-01-13,5.325,5.325,5.325,5.325,1.417348,26383360000.0
2000-01-14,5.4,5.4,5.4,5.4,1.43731,16657920000.0
2000-01-17,5.338,5.338,5.338,5.338,1.420807,16573440000.0
2000-01-18,5.363,5.363,5.363,5.363,1.427462,17925120000.0
2000-01-19,5.325,5.325,5.325,5.325,1.417348,38883840000.0
2000-01-20,5.313,5.313,5.313,5.313,1.414154,26268160000.0
2000-01-21,5.2,5.2,5.2,5.2,1.384077,17512960000.0
2000-01-24,5.163,5.163,5.163,5.163,1.374228,18385920000.0
2000-01-25,5.163,5.163,5.163,5.163,1.374228,0.0
2000-01-26,5.225,5.225,5.225,5.225,1.390731,25917440000.0
2000-01-27,5.188,5.188,5.188,5.188,1.380882,38379520000.0
2000-01-28,5.188,5.188,5.188,5.188,1.380882,17894400000.0
2000-01-31,5.101,5.101,5.101,5.101,1.357725,32266240000.0
2000-02-01,5.2,5.2,5.2,5.2,1.384077,23672320000.0
2000-02-02,5.3,5.3,5.3,5.3,1.410693,14272000000.0
2000-02-03,5.45,5.45,5.45,5.45,1.450618,25950720000.0
2000-02-04,5.588,5.588,5.588,5.588,1.48735,21199360000.0
2000-02-07,5.625,5.625,5.625,5.625,1.497198,20613120000.0
2000-02-08,5.75,5.75,5.75,5.75,1.530469,31498240000.0
2000-02-09,5.625,5.625,5.625,5.625,1.497198,15600640000.0
2000-02-10,5.463,5.463,5.463,5.463,1.454079,18600960000.0
2000-02-11,5.288,5.288,5.288,5.288,1.407499,25297920000.0
2000-02-14,5.213,5.213,5.213,5.213,1.387536,10119680000.0
2000-02-15,5.313,5.313,5.313,5.313,1.414154,33546240000.0
2000-02-16,5.738,5.738,5.738,5.738,1.527275,73564160000.0
2000-02-17,5.688,5.688,5.688,5.688,1.513966,21411840000.0
2000-02-18,5.563,5.563,5.563,5.563,1.480695,22484480000.0
2000-02-21,5.55,5.55,5.55,5.55,1.477235,18700800000.0
2000-02-22,5.525,5.525,5.525,5.525,1.470581,22474240000.0
2000-02-23,5.563,5.563,5.563,5.563,1.480695,20334080000.0
2000-02-24,5.713,5.713,5.713,5.713,1.520621,32931840000.0
2000-02-25,5.863,5.863,5.863,5.863,1.560546,36958720000.0
2000-02-28,5.75,5.75,5.75,5.75,1.530469,11596800000.0
2000-02-29,5.775,5.775,5.775,5.775,1.537124,24322560000.0
2000-03-01,5.875,5.875,5.875,5.875,1.56374,23828480000.0
2000-03-02,5.838,5.838,5.838,5.838,1.553892,24053760000.0
2000-03-03,6.038,6.038,6.038,6.038,1.607125,13217280000.0
2000-03-06,6.038,6.038,6.038,6.038,1.607125,0.0
2000-03-07,6.038,6.038,6.038,6.038,1.607125,0.0
2000-03-08,6.181,6.181,6.181,6.181,1.645187,8337920000.0
2000-03-09,6.399,6.399,6.399,6.399,1.703213,21578240000.0
2000-03-10,6.213,6.213,6.213,6.213,1.653705,14763520000.0
2000-03-13,6.213,6.213,6.213,6.213,1.653705,0.0
2000-03-14,5.813,5.813,5.813,5.813,1.547238,28421120000.0
2000-03-15,5.888,5.888,5.888,5.888,1.5672,25216000000.0
2000-03-16,5.925,5.925,5.925,5.925,1.577049,23298560000.0
2000-03-17,5.863,5.863,5.863,5.863,1.560546,18447360000.0
2000-03-20,5.688,5.688,5.688,5.688,1.513966,16012800000.0
2000-03-21,5.8,5.8,5.8,5.8,1.543778,25492480000.0
2000-03-22,5.814,5.814,5.814,5.814,1.547504,25113600000.0
2000-03-23,5.813,5.813,5.813,5.813,1.547238,26447360000.0
