Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875000,5.875000,5.875000,5.875000,1.563740,35389440000
2000-01-04,5.550000,5.550000,5.550000,5.550000,1.477235,28861440000
2000-01-05,5.494000,5.494000,5.494000,5.494000,1.462330,43033600000
2000-01-06,5.475000,5.475000,5.475000,5.475000,1.457273,34055680000
2000-01-07,5.500000,5.500000,5.500000,5.500000,1.463927,20912640000
2000-01-10,5.613000,5.613000,5.613000,5.613000,1.494004,19563520000
2000-01-11,5.475000,5.475000,5.475000,5.475000,1.457273,23987200000
2000-01-12,5.483000,5.483000,5.483000,5.483000,1.459402,23301120000
2000-01-13,5.325000,5.325000,5.325000,5.325000,1.417348,26383360000
2000-01-14,5.400000,5.400000,5.400000,5.400000,1.437310,16657920000
2000-01-17,5.338000,5.338000,5.338000,5.338000,1.420807,16573440000
2000-01-18,5.363000,5.363000,5.363000,5.363000,1.427462,17925120000
2000-01-19,5.325000,5.325000,5.325000,5.325000,1.417348,38883840000
2000-01-20,5.313000,5.313000,5.313000,5.313000,1.414154,26268160000
2000-01-21,5.200000,5.200000,5.200000,5.200000,1.384077,17512960000
2000-01-24,5.163000,5.163000,5.163000,5.163000,1.374228,18385920000
2000-01-25,5.163000,5.163000,5.163000,5.163000,1.374228,0
2000-01-26,5.225000,5.225000,5.225000,5.225000,1.390731,25917440000
2000-01-27,5.188000,5.188000,5.188000,5.188000,1.380882,38379520000
2000-01-28,5.188000,5.188000,5.188000,5.188000,1.380882,17894400000
2000-01-31,5.101000,5.101000,5.101000,5.101000,1.357725,32266240000
2000-02-01,5.200000,5.200000,5.200000,5.200000,1.384077,23672320000
2000-02-02,5.300000,5.300000,5.300000,5.300000,1.410693,14272000000
2000-02-03,5.450000,5.450000,5.450000,5.450000,1.450618,25950720000
2000-02-04,5.588000,5.588000,5.588000,5.588000,1.487350,21199360000
2000-02-07,5.625000,5.625000,5.625000,5.625000,1.497198,20613120000
2000-02-08,5.750000,5.750000,5.750000,5.750000,1.530469,31498240000
2000-02-09,5.625000,5.625000,5.625000,5.625000,1.497198,15600640000
2000-02-10,5.463000,5.463000,5.463000,5.463000,1.454079,18600960000
2000-02-11,5.288000,5.288000,5.288000,5.288000,1.407499,25297920000
2000-02-14,5.213000,5.213000,5.213000,5.213000,1.387536,10119680000
2000-02-15,5.313000,5.313000,5.313000,5.313000,1.414154,33546240000
2000-02-16,5.738000,5.738000,5.738000,5.738000,1.527275,73564160000
2000-02-17,5.688000,5.688000,5.688000,5.688000,1.513966,21411840000
2000-02-18,5.563000,5.563000,5.563000,5.563000,1.480695,22484480000
2000-02-21,5.550000,5.550000,5.550000,5.550000,1.477235,18700800000
2000-02-22,5.525000,5.525000,5.525000,5.525000,1.470581,22474240000
2000-02-23,5.563000,5.563000,5.563000,5.563000,1.480695,20334080000
2000-02-24,5.713000,5.713000,5.713000,5.713000,1.520621,32931840000
2000-02-25,5.863000,5.863000,5.863000,5.863000,1.560546,36958720000
2000-02-28,5.750000,5.750000,5.750000,5.750000,1.530469,11596800000
2000-02-29,5.775000,5.775000,5.775000,5.775000,1.537124,24322560000
2000-03-01,5.875000,5.875000,5.875000,5.875000,1.563740,23828480000
2000-03-02,5.838000,5.838000,5.838000,5.838000,1.553892,24053760000
2000-03-03,6.038000,6.038000,6.038000,6.038000,1.607125,13217280000
2000-03-06,6.038000,6.038000,6.038000,6.038000,1.607125,0
2000-03-07,6.038000,6.038000,6.038000,6.038000,1.607125,0
2000-03-08,6.181000,6.181000,6.181000,6.181000,1.645187,8337920000
2000-03-09,6.399000,6.399000,6.399000,6.399000,1.703213,21578240000
2000-03-10,6.213000,6.213000,6.213000,6.213000,1.653705,14763520000
2000-03-13,6.213000,6.213000,6.213000,6.213000,1.653705,0
2000-03-14,5.813000,5.813000,5.813000,5.813000,1.547238,28421120000
2000-03-15,5.888000,5.888000,5.888000,5.888000,1.567200,25216000000
2000-03-16,5.925000,5.925000,5.925000,5.925000,1.577049,23298560000
2000-03-17,5.863000,5.863000,5.863000,5.863000,1.560546,18447360000
2000-03-20,5.688000,5.688000,5.688000,5.688000,1.513966,16012800000
2000-03-21,5.800000,5.800000,5.800000,5.800000,1.543778,25492480000
2000-03-22,5.814000,5.814000,5.814000,5.814000,1.547504,25113600000
2000-03-23,5.813000,5.813000,5.813000,5.813000,1.547238,26447360000
2000-03-24,5.813000,5.813000,5.813000,5.813000,1.547238,15249920000
2000-03-27,6.250000,6.250000,6.250000,6.250000,1.663554,22727680000
2000-03-28,5.988000,5.988000,5.988000,5.988000,1.593817,16906240000
2000-03-29,5.963000,5.963000,5.963000,5.963000,1.587163,21788160000
2000-03-30,5.825000,5.825000,5.825000,5.825000,1.550432,16432640000
2000-03-31,5.900000,5.900000,5.900000,5.900000,1.570395,20659200000
2000-04-03,5.850000,5.850000,5.850000,5.850000,1.557086,18083840000
2000-04-04,5.819000,5.819000,5.819000,5.819000,1.548835,33208320000
2000-04-05,6.063000,6.063000,6.063000,6.063000,1.613780,40258560000
2000-04-06,6.150000,6.150000,6.150000,6.150000,1.636937,24975360000
2000-04-07,6.188000,6.188000,6.188000,6.188000,1.647051,19161600000
2000-04-10,6.050000,6.050000,6.050000,6.050000,1.610320,13194240000
2000-04-11,5.900000,5.900000,5.900000,5.900000,1.570395,21875200000
2000-04-12,6.037000,6.037000,6.037000,6.037000,1.606860,45626880000
2000-04-13,5.900000,5.900000,5.900000,5.900000,1.570395,40263680000
2000-04-14,5.900000,5.900000,5.900000,5.900000,1.570395,0
2000-04-17,5.250000,5.250000,5.250000,5.250000,1.397385,66396160000
2000-04-18,5.413000,5.413000,5.413000,5.413000,1.440770,50900480000
2000-04-19,5.088000,5.088000,5.088000,5.088000,1.354265,38799360000
2000-04-20,5.100000,5.100000,5.100000,5.100000,1.357460,17896960000
2000-04-21,5.100000,5.100000,5.100000,5.100000,1.357460,0
2000-04-24,5.000000,5.000000,5.000000,5.000000,1.330842,20638720000
2000-04-25,5.450000,5.450000,5.450000,5.450000,1.450618,38284800000
2000-04-26,5.369000,5.369000,5.369000,5.369000,1.429059,22627840000
2000-04-27,5.375000,5.375000,5.375000,5.375000,1.430655,43991040000
2000-04-28,5.376000,5.376000,5.376000,5.376000,1.430922,25940480000
2000-05-01,5.376000,5.376000,5.376000,5.376000,1.430922,0
2000-05-02,5.506000,5.506000,5.506000,5.506000,1.465524,19975680000
2000-05-03,5.488000,5.488000,5.488000,5.488000,1.460733,20416000000
2000-05-04,5.475000,5.475000,5.475000,5.475000,1.457273,21488640000
2000-05-05,5.488000,5.488000,5.488000,5.488000,1.460733,17635840000
2000-05-08,5.494000,5.494000,5.494000,5.494000,1.462330,17551360000
2000-05-09,5.499000,5.499000,5.499000,5.499000,1.463661,26621440000
2000-05-10,5.400000,5.400000,5.400000,5.400000,1.437310,26841600000
2000-05-11,5.312000,5.312000,5.312000,5.312000,1.413887,36037120000
2000-05-12,5.306000,5.306000,5.306000,5.306000,1.412291,26560000000
2000-05-15,5.400000,5.400000,5.400000,5.400000,1.437310,13186560000
2000-05-16,5.575000,5.575000,5.575000,5.575000,1.483889,27993600000
2000-05-17,5.513000,5.513000,5.513000,5.513000,1.467387,12966400000
2000-05-18,5.538000,5.538000,5.538000,5.538000,1.474042,23644160000
2000-05-19,5.413000,5.413000,5.413000,5.413000,1.440770,23654400000
2000-05-22,5.256000,5.256000,5.256000,5.256000,1.398982,20034560000
2000-05-23,5.325000,5.325000,5.325000,5.325000,1.417348,24501760000
2000-05-24,5.238000,5.238000,5.238000,5.238000,1.394190,38970880000
2000-05-25,5.313000,5.313000,5.313000,5.313000,1.414154,38474240000
2000-05-26,5.251000,5.251000,5.251000,5.251000,1.397651,26065920000
2000-05-29,5.300000,5.300000,5.300000,5.300000,1.410693,11112960000
2000-05-30,5.316000,5.316000,5.316000,5.316000,1.414952,23626240000
2000-05-31,5.238000,5.238000,5.238000,5.238000,1.394190,26045440000
2000-06-01,5.500000,5.500000,5.500000,5.500000,1.463927,27148800000
2000-06-02,5.813000,5.813000,5.813000,5.813000,1.547238,51576320000
2000-06-05,5.790000,5.790000,5.790000,5.790000,1.541116,22650880000
2000-06-06,5.790000,5.790000,5.790000,5.790000,1.541116,0
2000-06-07,6.244000,6.244000,6.244000,6.244000,1.661956,23697920000
2000-06-08,6.276000,6.276000,6.276000,6.276000,1.670473,28997120000
2000-06-09,6.275000,6.275000,6.275000,6.275000,1.670207,10813440000
2000-06-12,6.238000,6.238000,6.238000,6.238000,1.660359,6832640000
2000-06-13,6.232000,6.232000,6.232000,6.232000,1.658763,21562880000
2000-06-14,6.163000,6.163000,6.163000,6.163000,1.640397,27604480000
2000-06-15,6.168000,6.168000,6.168000,6.168000,1.641728,21391360000
2000-06-16,6.288000,6.288000,6.288000,6.288000,1.673668,36892160000
2000-06-19,6.325000,6.325000,6.325000,6.325000,1.683516,68078080000
2000-06-20,6.363000,6.363000,6.363000,6.363000,1.693630,17233920000
2000-06-21,6.438000,6.438000,6.438000,6.438000,1.713593,38213120000
2000-06-22,6.438000,6.438000,6.438000,6.438000,1.713593,0
2000-06-23,6.438750,6.438750,6.438750,6.438750,1.713792,28073600
2000-06-26,6.562500,6.562500,6.562500,6.562500,1.746732,23228800
2000-06-27,6.625000,6.625000,6.625000,6.625000,1.763367,28342400
2000-06-28,6.862500,6.862500,6.862500,6.862500,1.826582,25206400
2000-06-29,6.650000,6.650000,6.650000,6.650000,1.770021,15392000
2000-06-30,6.812500,6.812500,6.812500,6.812500,1.813273,15942400
2000-07-03,7.000000,7.000000,7.000000,7.000000,1.863179,22694400
2000-07-04,7.150000,7.150000,7.150000,7.150000,1.903105,21155200
2000-07-05,6.975000,6.975000,6.975000,6.975000,1.856525,40316800
2000-07-06,6.975000,6.975000,6.975000,6.975000,1.856525,29712000
2000-07-07,6.706250,6.706250,6.706250,6.706250,1.784993,48684800
2000-07-10,6.731250,6.731250,6.731250,6.731250,1.791647,26758400
2000-07-11,6.406250,6.406250,6.406250,6.406250,1.705142,55961600
2000-07-12,6.312500,6.312500,6.312500,6.312500,1.680189,48240000
2000-07-13,6.055000,6.055000,6.055000,6.055000,1.611651,28204800
2000-07-14,6.187500,6.187500,6.187500,6.187500,1.646918,27990400
2000-07-17,6.187500,6.187500,6.187500,6.187500,1.646918,78153600
2000-07-18,6.125000,6.125000,6.125000,6.125000,1.630283,37033600
2000-07-19,6.212500,6.212500,6.212500,6.212500,1.653572,30892800
2000-07-20,6.550000,6.550000,6.550000,6.550000,1.743404,37116800
2000-07-21,6.437500,6.437500,6.437500,6.437500,1.713460,53036800
2000-07-24,6.375000,6.375000,6.375000,6.375000,1.696825,26806400
2000-07-25,6.037500,6.037500,6.037500,6.037500,1.606993,59932800
2000-07-26,6.093750,6.093750,6.093750,6.093750,1.621964,39897600
2000-07-27,5.998750,5.998750,5.998750,5.998750,1.596678,47590400
2000-07-28,5.775000,5.775000,5.775000,5.775000,1.537124,36342400
2000-07-31,5.852500,5.852500,5.852500,5.852500,1.557751,22048000
2000-08-01,5.687500,5.687500,5.687500,5.687500,1.513834,77788800
2000-08-02,5.813750,5.813750,5.813750,5.813750,1.547437,66147200
2000-08-03,5.830000,5.830000,5.830000,5.830000,1.551762,48515200
2000-08-04,5.812500,5.812500,5.812500,5.812500,1.547105,164937600
